The Haunting of Hill House	2018– 
The Walking Dead	2010– 
Chilling Adventures of Sabrina	2018– 
Overlord	2018
American Horror Story	2011– 
Halloween	2018
Suspiria	2018
Supernatural	2005– 
The Meg	2018
The Nun	2018
Legacies	2018– 
Stranger Things	2016– 
The Purge	2018– 
Castlevania	2017– 
It: Chapter Two	2019
Mandy	2018
Hereditary	2018
The Vampire Diaries	2009–2017
It	2017
Apostle	2018
Halloween	1978
Fear the Walking Dead	2015– 
The Predator	2018
Goosebumps 2: Haunted Halloween	2018
The Originals	2013–2018
A Quiet Place	2018
The First Purge	2018
Van Helsing	2016– 
Suspiria	1977
The House with a Clock in Its Walls	2018
Hold the Dark	2018
Annihilation	2018
The House That Jack Built	2018
Z Nation	2014– 
Monster Party	2018
Gerald's Game	2017
The Shining	1980
Slender Man	2018
Teen Wolf	2011–2017
Get Out	2017
Upgrade	2018
Bram Stoker's Dracula	1992
They Live	1988
Slaughterhouse Rulez	2018
Castle Rock	2018– 
The Skin I Live In	2011
Halloween	2007
Channel Zero	2016– 
Split	2016
Grimm	2011–2017
14 Cameras	2018
Climax	2018
The Conjuring	2013
The Witch	2015
Godzilla: King of the Monsters	2019
Possum	2018
The Possession of Hannah Grace	2018
Bates Motel	2013–2017
Mother!	2017
Our House	2018
Scream	1996
Don't Watch This	2018– 
Hush	2016
Bird Box	2018
Penny Dreadful	2014–2016
Attack on Titan	2013– 
The Haunting	1999
The Cabin in the Woods	2012
Into the Dark	2018– 
Errementari	2017
Terrifier	2016
A Nightmare on Elm Street	1984
The Thing	1982
Stan Against Evil	2016– 
Hannibal	2013–2015
From Dusk Till Dawn	1996
iZombie	2015– 
Truth or Dare	2018
The Exorcist	1973
It	1990
Don't Breathe	2016
Room 104	2017– 
Halloween II	1981
Gargoyles	1972 TV Movie
The Conjuring 2	2016
Psycho	1960
Alien: Covenant	2017
Alien	1979
Summer of 84	2018
Pet Sematary	1989
Halloween H20: 20 Years Later	1998
Cloverfield	2008
Salò, or the 120 Days of Sodom	1975
Malevolent	2018
Lore	2017– 
Goosebumps	2015
Hell Fest	2018
Unfriended: Dark Web	2018
Pet Sematary	2019
The Twilight Zone	1959–1964
Friday the 13th	1980
The Dark	2018
Tumbbad	2018
Ash vs Evil Dead	2015–2018
It Follows	2014
The Terror	2018– 
Evil Dead	2013
Jigsaw	2017
Shaun of the Dead	2004
Scream: The TV Series	2015– 
The Addams Family	2019
The Purge	2013
Unsane	2018
Carrie	1976
Santa Clarita Diet	2017– 
Haunted	2018– 
The Endless	2017
Happy Death Day	2017
10 Cloverfield Lane	2016
Friday the 13th	2009
Halloween II	2009
The Strain	2014–2017
Death House	2017
High Life	2018
Jennifer's Body	2009
The Ritual	2017
What We Do in the Shadows	2014
13 Cameras	2015
The Babysitter	2017
Constantine: City of Demons	2018– 
Insidious: The Last Key	2018
The Invitation	2015
The Evil Dead	1981
Survival Island	2005
Zombieland	2009
Annabelle: Creation	2017
The Super	2017
The Dark Tower	2017
The Cloverfield Paradox	2018
The New Mutants	2019
Mara	2018
Saw	2004
Life	2017
Oculus	2013
Ghost Stories	2017
Revenge	2017
Interview with the Vampire: The Vampire Chronicles	1994
The Purge: Election Year	2016
Bone Tomahawk	2015
Freddy vs. Jason	2003
